id,root_id,customer_message,full_thread,is_dm_redirect,historical_resolution,ground_truth_intent,ground_truth_escalate,escalation_reason_category,reference_reply,labeler_notes
1,1776798,I️ can’t even tweet like I️ want to. Wtf...tweets looking crazy as hell because of “I️”. Do y’all see this shit?? @115858 fix it.,C: I️ can’t even tweet like I️ want to. Wtf...tweets looking crazy as hell because of “I️”. Do y’all see this shit?? @115858 fix it. || A: @533915 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,False,@533915 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,,,
2,484446,@AppleSupport im confused my phone is frozen and wont let me touch anything on the screen ive had this phone why is it acting up,"C: @AppleSupport im confused my phone is frozen and wont let me touch anything on the screen ive had this phone why is it acting up || A: @230277 Hey, let's get your iPhone back up and running smoothly. Is it currently still unresponsive? If so, are you able to restart it as described here?: https://t.co/OWRDHWSt4h || C: @AppleSupport The Volume up and down worked thank you || A: @230277 You're welcome. We're glad to hear that helped.",False,@230277 You're welcome. We're glad to hear that helped.,,,,,
3,1073825,Hey @AppleSupport why does the new update like to turn my WiFi on by itself? I turn it off then look later and it’s back on,"C: Hey @AppleSupport why does the new update like to turn my WiFi on by itself? I turn it off then look later and it’s back on || A: @373368 To disable Wi-Fi, you want to do so from Settings.  You can see more on that here: https://t.co/G7BHuQnDS6",False,"@373368 To disable Wi-Fi, you want to do so from Settings.  You can see more on that here: https://t.co/G7BHuQnDS6",,,,,
4,1584584,@115858 @AppleSupport why does typing the letter I* change into this weird question mark symbol: I️ ?!!,"C: @115858 @AppleSupport why does typing the letter I* change into this weird question mark symbol: I️ ?!! || A: @487593 We are here to help. To get started today, please take the steps in the following article: https://t.co/MaraeomA15",False,"@487593 We are here to help. To get started today, please take the steps in the following article: https://t.co/MaraeomA15",,,,,
5,1496687,Hey @115858! I’ve tried several times over the past few months to get my Apple ID reset but never receive email/phone notification. Pls help!,C: Hey @115858! I’ve tried several times over the past few months to get my Apple ID reset but never receive email/phone notification. Pls help! || A: @467480 We've got a team of specialists who can best assist with that. Connect with them here: https://t.co/UJm15vmMM2,False,@467480 We've got a team of specialists who can best assist with that. Connect with them here: https://t.co/UJm15vmMM2,,,,,
6,2000387,Hey @115858 can haz iOS 10 back? iOS 11 is steaming pile of 💩. freezes up daily. No issues prior to 11... could care less about new features,"C: Hey @115858 can haz iOS 10 back? iOS 11 is steaming pile of 💩. freezes up daily. No issues prior to 11... could care less about new features || A: @591484 While there isn't a way to revert the iOS version, we can look into the issues you're experiencing. DM us: https://t.co/GDrqU22YpT",True,"@591484 While there isn't a way to revert the iOS version, we can look into the issues you're experiencing. DM us: https://t.co/GDrqU22YpT",,,,,
7,2186450,hey @115858 are you gonna release a statement regarding this annoying AF “I️” glitch? If I️ see one more A ? or ! ? I️ WAS TOLD BY APPLECARE,C: hey @115858 are you gonna release a statement regarding this annoying AF “I️” glitch? If I️ see one more A ? or ! ? I️ WAS TOLD BY APPLECARE || A: @440936 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 || C: @AppleSupport I️ DONT WANT A WORK AROUND I️ WANT A FIX,False,@440936 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9,,,,,
8,2287258,@115858 the past 3 iPhones including this one nobody is able to hear me when I’m on speaker #fixit,C: @115858 the past 3 iPhones including this one nobody is able to hear me when I’m on speaker #fixit || A: @664549 Thanks for reaching out. We'd like some additional details to assist. What's the current iPhone model and iOS you're having this issue on? || C: @AppleSupport 7 plus rose gold || A: @664549 Thanks for the info! Send us a DM. We'll work with you on this further from there. https://t.co/GDrqU22YpT,True,@664549 Thanks for the info! Send us a DM. We'll work with you on this further from there. https://t.co/GDrqU22YpT,,,,,
9,2301745,"@AppleSupport asking for a serial number on the ""password reset"" help option is not helpful when you need to be able to access your phone to get the serial number.","C: @AppleSupport asking for a serial number on the ""password reset"" help option is not helpful when you need to be able to access your phone to get the serial number. || A: @667997 No worries, there are other ways you can find both your serial number and IMEI! Check out our page here: https://t.co/YY64eEMYwP",False,"@667997 No worries, there are other ways you can find both your serial number and IMEI! Check out our page here: https://t.co/YY64eEMYwP",,,,,
10,665774,Wtf is with this question mark shit @115858,"C: Wtf is with this question mark shit @115858 || A: @278591 We're here to help. We've released an update, iOS 11.1.1, which fixes the issue. You can find out more here: https://t.co/xXaXeeSRt9",False,"@278591 We're here to help. We've released an update, iOS 11.1.1, which fixes the issue. You can find out more here: https://t.co/xXaXeeSRt9",,,,,
