id,root_id,customer_message,ground_truth_intent,ground_truth_escalate,escalation_reason_category,is_dm_redirect,reference_reply,labeler_notes
1,1776798,I️ can’t even tweet like I️ want to. Wtf...tweets looking crazy as hell because of “I️”. Do y’all see this shit?? @115858 fix it.,software_bug_report,True,LOW_CONFIDENCE_AMBIGUOUS,False,"CORRECTION NEEDED: escalate should be False, publicly resolved with workaround link",
2,484446,@AppleSupport im confused my phone is frozen and wont let me touch anything on the screen ive had this phone why is it acting up,repair_warranty_request,True,LOW_CONFIDENCE_AMBIGUOUS,False,"CORRECTION NEEDED: escalate should be False, publicly resolved with workaround link",
3,1073825,Hey @AppleSupport why does the new update like to turn my WiFi on by itself? I turn it off then look later and it’s back on,service_status_issue,False,NONE,False,"@373368 To disable Wi-Fi, you want to do so from Settings.  You can see more on that here: https://t.co/G7BHuQnDS6",
4,1584584,@115858 @AppleSupport why does typing the letter I* change into this weird question mark symbol: I️ ?!!,software_bug_report,False,NONE,False,"@487593 We are here to help. To get started today, please take the steps in the following article: https://t.co/MaraeomA15",
5,1496687,Hey @115858! I’ve tried several times over the past few months to get my Apple ID reset but never receive email/phone notification. Pls help!,device_hardware_malfunction,False,NONE,False,@467480 We've got a team of specialists who can best assist with that. Connect with them here: https://t.co/UJm15vmMM2,
6,2000387,Hey @115858 can haz iOS 10 back? iOS 11 is steaming pile of 💩. freezes up daily. No issues prior to 11... could care less about new features,software_bug_report,True,OTHER,True,"@591484 While there isn't a way to revert the iOS version, we can look into the issues you're experiencing. DM us: https://t.co/GDrqU22YpT",
7,2186450,hey @115858 are you gonna release a statement regarding this annoying AF “I️” glitch? If I️ see one more A ? or ! ? I️ WAS TOLD BY APPLECARE,device_hardware_malfunction,False,NONE,False,@440936 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9,
8,2287258,@115858 the past 3 iPhones including this one nobody is able to hear me when I’m on speaker #fixit,service_status_issue,True,OTHER,True,@664549 Thanks for the info! Send us a DM. We'll work with you on this further from there. https://t.co/GDrqU22YpT,
9,2301745,"@AppleSupport asking for a serial number on the ""password reset"" help option is not helpful when you need to be able to access your phone to get the serial number.",billing_payment_issue,False,NONE,False,"@667997 No worries, there are other ways you can find both your serial number and IMEI! Check out our page here: https://t.co/YY64eEMYwP",
10,665774,Wtf is with this question mark shit @115858,repair_warranty_request,False,NONE,False,"@278591 We're here to help. We've released an update, iOS 11.1.1, which fixes the issue. You can find out more here: https://t.co/xXaXeeSRt9",
11,2286923,"Getting frustrated with @115858 my phone screen just decided to stop working. Did a reset and now only 300 of my 6,000 photos are showing up....but why?",account_howto_question,False,NONE,False,@664474 Photos help tell the story of our lives. We have a team of experts who will be the best source of help. Please reach out to them here: https://t.co/IBIY3vMgPj,
12,2977727,@AppleSupport I got an email saying my Apple Id was disabled and the link is not working to reactivate it?,general_complaint_feedback,True,OTHER,True,We're sorry about that. Please DM us your country and the email associated with your Apple ID so our specialists can help reactivate it.,
13,2133426,has anyone else notice this little corny ass “I️” ... Apple is bullshitting give us back the regular I️ on the keyboard and take this bullshit back @115858  THANKS IN ADVANCE https://t.co/0M9pBZWoVc,general_complaint_feedback,False,NONE,False,@627724 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,
14,1061468,"@AppleSupport hi, I'd forgotten my password, did the recover, got message saying reset next day at 7pm. Day passed no reset info?!??",account_howto_question,False,NONE,False,@286166 You'll find more info concerning account recovery here: https://t.co/nXAGZj0EE7,
15,2361678,@AppleSupport I bought a game on the Mac App Store that isn’t compatible with my machine in spite of verifying the requirements before purchasing. Can I be refunded for this un-playable game that I bought under false pretences?,general_complaint_feedback,False,NONE,False,@681945 We'd love to help with this and recommend that you reach out to our iTunes Store team directly about a refund. Click here to get started: https://t.co/SDIe7UiyJN,
16,188597,@AppleSupport my ‘Two factor authentication’ isn’t calling the number I have registered to my Apple ID with the code. Why is this?,device_hardware_malfunction,False,NONE,False,@160265 Thanks for reaching us. Try the steps in this article to receive your verification code: https://t.co/gZlEJEsNrU,
17,1502981,@AppleSupport hello. I’m having trouble changing my iTunes Store location. Please help. https://t.co/ZIYKCREYI9,billing_payment_issue,True,OTHER,True,"@468836 Thank you. If you continue to experience any issues, please meet us in DM. https://t.co/GDrqU22YpT",
18,2133589,@AppleSupport can you get your best nerds and fix this letter glitch? It’s really ruining my week,service_status_issue,False,NONE,False,"Thanks for reaching out. We have a workaround for this here, and recommend updating to the latest iOS to fully resolve it.",
19,546657,@115858 worth £750 billion and still can't sort a fucking phone !! #wheresmysamsung #fuckapple,account_howto_question,True,OTHER,False,@247122 We might have a fix for what you're seeing. Did you update to iOS 11.2 yet? We just released it. You can see a guide for how to help with this here: https://t.co/osZOKKTalm,
20,2479064,"@AppleSupport hi am having problems with battery in iPhone 5s. Battery charge percentage changes a lot, says I have 18% then 60% when plugin",service_status_issue,False,NONE,False,"@270229 Updating the version of iOS is a great step that helps isolate further. Let's give some time to test with the new software version. If the issue persist, reach back out and we'll take a further look.",
21,2422462,@115858 how do I block a email address with iCloud? I understand adding a new rule but I want the sender to get an error email back to them like they emailed the wrong account. How do I do that? Like block and not just go to my trash?  I don’t want to see it.,repair_warranty_request,False,NONE,False,"@543431 Thanks for reaching out! We can understand not wanting to see the emails at all. Although there isn’t a way to block a sender specifically, we’d recommend setting up the rule so they do not show up in your inbox still.",
22,31455,"Hi @AppleSupport after upgrading to iOS 11.1 this control center dunno where to stay - up, middle and down.  Now in the upper section. ios11 https://t.co/pK9efWapng",repair_warranty_request,False,NONE,False,"@122938 Hey, we'd love to help with your AssistiveTouch. Let's try a standard restart, here's how: https://t.co/OWRDHWSt4h",
23,958213,@AppleSupport how do I reset my Apple ID password?,account_howto_question,False,NONE,False,@347358 We'd love to help. Take a look at the steps here: https://t.co/pSqXVktNl7,
24,910587,i pay too damn much money a month for apple radio to suck as much as it does so fix this shit @115858,service_status_issue,True,OTHER,True,@336279 What issues are you having with Apple Radio? Let us know in DM. We'd like to help. https://t.co/GDrqU22YpT,
25,2480175,@AppleSupport how can I get the night shift on/off service in my control center in the new update?!? I have to go into setting every time 🤔🙄,general_complaint_feedback,False,NONE,False,@708756 Great question. You can find the details to help you actviate Night Shift via Control Center here: https://t.co/NBE76DOiEM,
26,2703179,@AppleSupport App Store doesn’t work since iOS 11 update. Can’t download app unless I have WiFi. Argh. #Frustrated,software_bug_report,False,NONE,False,@759270 We're happy to assist. Which iOS 11 version are you currently running? Go to Settings &gt; General &gt; About for the version.,
27,1682634,"Hey @AppleSupport fully charged iPhone 7 with new iOS11.1. Took some photos, opened FB and down to 64% already. What gives?!",billing_payment_issue,True,OTHER,True,@251547 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT,
28,2429218,"so i update my phone so get rid of the stupid ""I"" glitch but now everything else seems to not be working... @115858 get it together plz.",repair_warranty_request,False,NONE,False,"@483612 That's certainly unexpected, but we can help out. Tell us a little more about what seems to be going on with your iPhone now. Also, to confirm, are you running iOS 11.1.1 and let us know which iPhone model you have.",
29,1288263,So I update my phone to the new iOS and I can’t get into my Apple Music @AppleSupport I need some help man 🤦🏻‍♂️,account_howto_question,False,NONE,False,@232756 We’re investigating and will update our System Status page as more info becomes available: https://t.co/Fcu0biZf0L,
30,2634978,@115858 why can’t I share my location? My services are on and it’s telling me it can’t connect to server. It’s been telling me that for days,general_complaint_feedback,False,NONE,False,@699780 Thanks for reaching out to us about the location services on your device. We can certainly help. Which device is this happening on &amp; what version of OS is running? Check out this link that has some steps for sharing your location: https://t.co/D6iva00o7v,
31,2304252,@AppleSupport I forgot my Apple ID,account_howto_question,False,NONE,False,"@668584 OK if you've found your Apple ID but don't know the password, you can reset that here: https://t.co/blQI4wX8qY",
32,726705,"3 days after I update my phone it starts shutting off on its own &amp; the touch screen freezes. 

@115858 you’re not clever.   🖕🏼",device_hardware_malfunction,False,NONE,False,"@294073  A reliable iPhone is paramount, and we want to help. Which version of iOS 11 do you have installed? We are now at 11.0.2.",
33,1772607,.@AppleSupport why is my phone capitalizing the first letter of random words?,software_bug_report,True,OTHER,True,"@532767 Meet up with us in DM and we'll go from there, please. https://t.co/GDrqU22YpT",
34,385683,@AppleSupport why on the iPad Pro does VoiceOver not give you the instructions on how to multi screen? It did on the iPad air too!,software_bug_report,False,NONE,False,@207300 We know how critical it is that Accessibility have the right features. Check out https://t.co/2ibqaYRLpt for all the new info.,
35,2304325,"@applesupport Can't access itunes, cloud and app store with new ios update. Now I have to put the phone down and talk to people. help!",repair_warranty_request,False,NONE,False,@668604 We would like to help with this. Are you getting any kind of error message? Does it happen on Wi-Fi and cellular data?,
36,963721,@115858 please fix FaceTime.,account_howto_question,False,NONE,False,@348734 We're here to help. Tell us what issue you're having with your FaceTime app. Which iPhone and iOS version are you using?,
37,2229404,Dear @115858 it’s still buggy the Appstore in #iOS11.1.1 🐞🐛 https://t.co/NmJXWtebH8,general_complaint_feedback,True,OTHER,True,@650600 Let's dive into this issue together. When did you first notice this? Reply via DM and we'll go from there. https://t.co/GDrqU22YpT,
38,1406601,@AppleSupport very very disappointed with the help and service regarding a damaged / faulty phone.... Help,software_bug_report,True,OTHER,True,"@446943 Let us know of your experience in DM, please. https://t.co/GDrqU22YpT",
39,1117156,Feels like ios 11 kryptonited the battery on my 6. Forced obsolescence ? @AppleSupport,device_hardware_malfunction,True,OTHER,True,@383600 We'd be happy to look into this with you. Send us a DM to get started. https://t.co/GDrqU22YpT,
40,1133206,@AppleSupport why don't apps ever auto update?  My settings are correct. They haven't auto updated ever. Really annoying. Please help.,account_howto_question,False,NONE,False,"@387018 Let's go to Settings &gt; iTunes &amp; App Stores and disable Automatic updates. Then, restart your device and enable it again.",
41,1963361,@115858 ur screen recording function failed me &gt;:(,account_howto_question,True,OTHER,True,@582137 Let's look into this screen recording issue for you. Send us a DM with your device type and iOS version to get started. https://t.co/GDrqU22YpT,
42,2152122,Why haven’t y’all fixed the stupid issue with “I️” &amp; “I️t” yet? @115858,repair_warranty_request,False,NONE,False,"@632409 We recently released iOS 11.1.2, so let’s go ahead and upgrade to that latest version, then let us know how things go from there. Be sure to create a backup.  This article will guide you: https://t.co/80YRnjDFDk",
43,938214,"@AppleSupport I have an IPhone SE since updating to 11 (and all subsequent updates, so now on 11.0.3 I have had no sound from phone.",repair_warranty_request,False,NONE,False,"@342406 Is the issue with notification sounds, video or music playback or any sound on your device? Let us know, we'd like to help.",
44,243342,@AppleSupport wtf did updating do to texting?!?!? #nothappy 😤,device_hardware_malfunction,False,NONE,False,"@173792 Perfect. Reach back out if this issue, or anything else comes up that you need our help with.",
45,570180,"@AppleSupport I am keep sending DM to you. Unfortunately my issues didn’t get resolved.
Can you please expedite &amp; solve my issue which I am facing almost for more than 12 hours.",repair_warranty_request,False,NONE,False,"@253841 You are most welcome. If there is anything we can do to assist you in the future, please don't hesitate to reach back out.",
46,1066776,@115858 iOS 11 performance has been a complete dumpster fire lately,billing_payment_issue,False,NONE,False,"@371747 We can work towards a resolution together. Tell us about the issues you’re noticing, and the version of iOS 11 your device is on.",
47,552070,"@AppleSupport with the microphone on whiled screen recording with the latest update, my recordings have no sound....",device_hardware_malfunction,False,NONE,False,"@248691 Let's check that out for you. Can you tell which iOS version you're running? We ask because we released an update earlier today. Also, are there any issues with the microphone in other apps?",
48,486202,@AppleSupport hi stupid question... i have an Apple Music subscription f I download the songs for offline listening do I just pay £9.99 per month and not have to pay to eg. £0.99 for individual songs?,billing_payment_issue,False,NONE,False,"@230673 With Apple Music you will only pay the monthly subscription fee.  All music that is available to Apple Music subscribers can be downloaded for offline use.

Here's a great article with more information: https://t.co/dZgsEePiEK",
49,1261352,"@AppleSupport hi, I’m a subscriber on Apple Music but it says I’m not a member and I’ve tried to reactivate it for 4 times now but wont work",software_bug_report,False,NONE,False,@415487 We’re investigating and will update our System Status page as more info becomes available: https://t.co/7NVrDovSd8,
50,810395,@AppleSupport when we can expect apple pay in India please let us know #applepay,general_complaint_feedback,False,NONE,False,"@313087 Hi there, we encourage for you to stay updated on the availability of Apple Pay on our website here: https://t.co/EwMocuR7xW",
51,2919998,@AppleSupport WHY DID MY CONTACTS JUST RANDOMLY DELETE OUT OF MY IPHONE? AND HOW DO I FIX IT?????????,general_complaint_feedback,True,OTHER,True,@808173 We'll be happy to take a look into this with you. Could you please send us a DM with what iOS version you're running so we can get started? https://t.co/GDrqU22YpT,
52,2110975,@AppleSupport   I have the iPhone X.  The OLED screen is awful. Just the slightest slant results in significant blue tint. Can it be fixed?,repair_warranty_request,True,OTHER,True,@326640 We are here to help. DM us your iOS version and we can take a look at this. https://t.co/GDrqU22YpT,
